condition_id,seed,pct_predictive,mean_population_reward,mean_prop_zone_a,mean_prop_zone_b,mean_prop_stay_out,synchronization,gini_wealth,wealth_std,total_wealth_random,mean_reward_random,total_wealth_memory,mean_reward_memory,mean_reward_predictive,total_wealth_predictive
2,0,0.05,0.5503252398027147,0.5687266666666667,0.39361333333333337,0.03766,0.8654666666666667,0.3055607908140552,238.43801988882018,19444.568425267444,1.2963045616844961,46386.23370261157,0.36381359766754173,2.229064512337094,16717.983842528203
2,1,0.05,0.5483699423105144,0.6095666666666667,0.35358666666666666,0.036846666666666666,0.8584400000000001,0.2914013906928823,228.91976401705867,18608.256120705686,1.2405504080470457,47268.20358820539,0.37073100853494423,2.18387088502215,16379.031637666125
2,2,0.05,0.5492625144622305,0.5690533333333333,0.39336,0.03758666666666667,0.8578666666666667,0.3011410408084185,237.67025912823703,18768.015913339234,1.2512010608892823,46640.58783693014,0.36580853205435404,2.264103122542026,16980.773419065194
2,3,0.05,0.5500729501940166,0.59202,0.3703466666666667,0.03763333333333333,0.8566466666666667,0.29761728095320983,235.39353378715563,18680.649511997162,1.2453766341331443,46955.92142006455,0.36828173662795727,2.2499162129387735,16874.3715970408
2,4,0.05,0.5507837333978659,0.5982066666666667,0.36456,0.037233333333333334,0.8563799999999999,0.2944000638941935,232.77073093004194,18688.138903346506,1.245875926889767,47264.315945022776,0.3707005172158649,2.222014021508082,16665.105161310617
2,5,0.05,0.5493470887503306,0.5861333333333334,0.3769733333333334,0.036893333333333334,0.8633066666666667,0.30054686834574285,235.6630148162108,19023.099603945866,1.2682066402630576,46679.83762587431,0.3661163735362691,2.2265501443639204,16699.126082729403
2,6,0.05,0.5493520114394196,0.5603933333333333,0.4019933333333333,0.03761333333333333,0.86152,0.3091465543305443,245.24036755131436,18878.830522522956,1.2585887015015305,46022.64092427166,0.36096188960213066,2.333510702549111,17501.33026911833
2,7,0.05,0.5501652733394311,0.5634,0.40015999999999996,0.03644,0.8629600000000001,0.3100520443636674,246.8547119979543,18738.425442944757,1.2492283628629839,46079.47137239558,0.36140761860702414,2.3609192247432502,17706.894185574376
2,8,0.05,0.5505010859862487,0.5620866666666666,0.40065999999999996,0.03725333333333333,0.8657533333333334,0.31411082691501435,248.71569719333039,19283.87515788046,1.2855916771920306,45705.51900975028,0.3584746589000022,2.3447691640408777,17585.768730306583
2,9,0.05,0.5498885751145656,0.5989800000000001,0.3628933333333333,0.03812666666666666,0.8613333333333335,0.29776642228731776,234.1615453013371,18977.61833424822,1.2651745556165481,46867.10073470242,0.3675851038015876,2.218475626431223,16638.567198234174
2,10,0.05,0.5504256909368261,0.5764533333333333,0.386,0.037546666666666666,0.86544,0.3115086380440313,247.90205810798273,18917.33678388171,1.261155785592114,45942.210559872256,0.36033106321468433,2.360574172902662,17704.306296769966
2,11,0.05,0.5509480511606768,0.5689933333333334,0.39375333333333334,0.03725333333333333,0.8701,0.3110225829928215,245.46773493654675,19296.972854099753,1.2864648569399835,45984.354793118706,0.3606616062205389,2.3147840035844056,17360.880026883042
2,12,0.05,0.5505355441816351,0.5589533333333334,0.40491999999999995,0.036126666666666675,0.86598,0.31794639737892516,251.03827868724147,19504.12642879857,1.3002750952532378,45413.17665570682,0.3561817776918182,2.355070472365323,17663.02854273992
2,13,0.05,0.550534842915808,0.5758333333333334,0.3865333333333333,0.03763333333333333,0.8624466666666666,0.30156667553126626,237.9557792451598,18828.59213559674,1.2552394757064493,46758.77773070017,0.3667355116133346,2.2657142094765765,16992.856571074324
2,14,0.05,0.5498212060902247,0.5851533333333334,0.3769866666666667,0.03786,0.8563399999999999,0.29604615976085324,232.64589333035082,18947.02190093527,1.2631347933956847,46998.58874888586,0.3686163823442028,2.203676035161679,16527.570263712594
2,15,0.05,0.551224467165931,0.55326,0.40962000000000004,0.03712000000000001,0.8570533333333333,0.303009044069249,240.14631322079185,18869.658537221276,1.2579772358147516,46657.930739980446,0.36594455482337607,2.2874774396917243,17156.080797687933
2,16,0.05,0.5501232858575351,0.5864133333333335,0.3761666666666667,0.03742,0.8545333333333333,0.2928144808158091,230.74734551059765,18641.209133344637,1.2427472755563091,47343.66975046699,0.37132290000366264,2.204481865975819,16533.613994818643
2,17,0.05,0.5487541266816912,0.5532466666666667,0.4096,0.03715333333333334,0.8632799999999999,0.3122294762283917,246.5863298285247,19106.85880738271,1.2737905871588473,45726.77806892813,0.35864139661904415,2.3305976167923745,17479.48212594281
2,18,0.05,0.5502846994392853,0.5961466666666667,0.36651999999999996,0.037333333333333336,0.8666133333333333,0.30561764162046656,242.4035691563098,18837.405016758992,1.255827001117266,46392.574152330504,0.36386332668494514,2.3083634329071128,17312.725746803346
2,19,0.05,0.5497510233069399,0.5573266666666667,0.40574666666666664,0.03692666666666667,0.8648333333333332,0.30894697209519517,241.79677202679017,19575.38974883756,1.3050259832558373,45974.56140359321,0.3605847953222997,2.2550269791480324,16912.702343610243
3,0,0.3,0.5481999284358119,0.5104000000000001,0.42320666666666673,0.06639333333333335,0.56578,0.03162215084929865,21.64559182920553,6339.6783386912175,0.4226452225794145,51011.692316498375,0.5667965812944263,0.5528581913373815,24878.618610182166
3,1,0.3,0.5495146275122338,0.5116266666666667,0.42246000000000006,0.06591333333333334,0.5644466666666668,0.03403375774133677,22.47131559684982,6308.701971597935,0.42058013143986234,51339.03237573281,0.5704336930636978,0.5506546617667635,24779.459779504356
3,2,0.3,0.5483071972913592,0.5103333333333333,0.42172000000000004,0.06794666666666666,0.5494533333333333,0.0406397493710875,25.799503149936672,6025.848335226021,0.4017232223484014,51799.867859866245,0.5755540873318472,0.5426747421913684,24420.36339861158
3,3,0.3,0.5499461826631016,0.50856,0.42472,0.06672,0.5730799999999999,0.031069803536194263,21.222170724304377,6399.43863445683,0.426629242297122,51041.85351166161,0.567131705685129,0.5566807834077067,25050.635253346798
3,4,0.3,0.5484554372076823,0.5096066666666667,0.42355333333333334,0.06684,0.5680533333333333,0.03481269306190171,23.600693099740948,6176.796626801502,0.41178644178676677,51216.27233272658,0.5690696925858508,0.5527832582583174,24875.246621624283
3,5,0.3,0.5500106241760838,0.5111933333333333,0.4211666666666667,0.06764,0.5499066666666668,0.04085793942440974,25.766642934327354,6068.633874010902,0.4045755916007268,52009.93858112818,0.5778882064569798,0.5427338038060764,24423.021171273438
3,6,0.3,0.5511445544413907,0.5087266666666667,0.42416,0.06711333333333334,0.5770533333333334,0.03226771335873346,22.468939890721757,6307.642955565281,0.42050953037101874,51176.696296639995,0.5686299588515555,0.5597187536445185,25187.343914003333
3,7,0.3,0.5491853013876797,0.5100733333333333,0.42290000000000005,0.06702666666666666,0.5625,0.0346475211785473,22.947563288843348,6255.80100342685,0.41705340022845666,51347.797361362755,0.5705310817929194,0.5505377076302744,24774.196843362348
3,8,0.3,0.5491761441258403,0.5103133333333333,0.42216,0.06752666666666667,0.5535533333333332,0.03935150487341632,24.901037852776415,6116.598385189539,0.4077732256793026,51776.27359155232,0.5752919287950258,0.5440788809363138,24483.549642134123
3,9,0.3,0.5504352105673642,0.51146,0.4214,0.06714,0.5397266666666667,0.04340200425152019,26.659632853949187,6031.4956358144755,0.40209970905429837,52263.956799407984,0.5807106311045331,0.5393295366640488,24269.829149882196
3,10,0.3,0.5500380062562997,0.5090866666666667,0.4240066666666667,0.06690666666666667,0.5740333333333333,0.03258922179070045,22.667530695169095,6268.6302641949615,0.4179086842796641,51130.97212180386,0.5681219124644874,0.557913301165469,25106.098552446107
3,11,0.3,0.5497092716558442,0.5132533333333333,0.41896000000000005,0.06778666666666666,0.56724,0.03082982933865841,22.17038397017696,6298.478450980034,0.41989856339866893,50951.620822209254,0.5661291202467695,0.5601398105597196,25206.291475187383
3,12,0.3,0.5513028480608352,0.5072333333333333,0.42570666666666673,0.06706000000000001,0.5776600000000001,0.03131111636662154,21.465334931742422,6397.990181949182,0.42653267879661216,51048.148673916294,0.5672016519324032,0.561095296739106,25249.288353259766
3,13,0.3,0.5495685028394721,0.5099,0.42474666666666666,0.06535333333333333,0.6122666666666666,0.033736156271592765,18.954515094356278,6769.764269561874,0.4513176179707916,49439.440780908786,0.5493271197878754,0.5828015638988913,26226.070375450105
3,14,0.3,0.5493879383455638,0.5098466666666667,0.4217666666666667,0.06838666666666665,0.5476333333333333,0.04193748001086983,26.1435963223166,6040.365217118074,0.40269101447453826,52017.25248775566,0.577969472086174,0.5411238454880184,24350.573046960828
3,15,0.3,0.5492402029846187,0.51338,0.41929333333333335,0.06732666666666667,0.5759933333333334,0.031034967516955447,21.828512599482675,6332.63578295858,0.42217571886390537,50845.39890878108,0.5649488767642342,0.560177683465626,25207.995755953172
3,16,0.3,0.5496581408121569,0.5074,0.4270333333333334,0.06556666666666666,0.6114866666666667,0.03145182010814129,18.921651517411316,6687.985233984227,0.4458656822656151,49835.9008607054,0.5537322317856156,0.5761074450474192,25924.83502713386
3,17,0.3,0.5498127411623793,0.51246,0.4213866666666667,0.06615333333333334,0.5471866666666667,0.040077902399830334,25.549154895017434,6072.215579738511,0.4048143719825674,51917.19476037475,0.5768577195597194,0.5440555740943029,24482.500834243634
3,18,0.3,0.5484080314183245,0.5116866666666666,0.42114666666666667,0.06716666666666667,0.5504133333333334,0.03957361024835393,24.78637665520158,6125.717293136272,0.40838115287575144,51753.47162224758,0.5750385735805287,0.5418225732747751,24382.01579736488
3,19,0.3,0.5502620791165814,0.5075666666666666,0.42606000000000005,0.06637333333333334,0.57546,0.03152683022611913,21.725486203685612,6355.901253967657,0.42372675026451045,51116.80228215168,0.5679644698016854,0.557035740697064,25066.60833136788
4,0,0.45,0.5500902077264782,0.49979999999999997,0.42066666666666663,0.07953333333333333,0.5100733333333334,0.05050416592111007,28.627205370310172,5978.112573391819,0.39854083822612124,40090.634309526286,0.5939353231040931,0.5399227300156091,36444.784276053615
4,1,0.45,0.5504656910478115,0.4994533333333333,0.4212533333333333,0.07929333333333334,0.5127733333333333,0.049627188522904486,28.300594937098268,5994.584691960162,0.3996389794640108,40067.01288015212,0.5935853760022536,0.5408630531119921,36508.25608505947
4,2,0.45,0.5496886900323322,0.49951999999999996,0.4203333333333334,0.08014666666666667,0.5137200000000001,0.05004960449847329,28.555959798329344,5965.383015456959,0.39769220103046393,40060.56722865945,0.5934898848690289,0.5396644927516062,36427.35326073342
4,3,0.45,0.5489099333145082,0.4990266666666666,0.4206666666666667,0.08030666666666667,0.5113266666666667,0.05075615693346647,28.798489817676508,5948.138176324595,0.3965425450883064,40051.6184573896,0.593357310479846,0.5383219757549925,36336.73336346199
4,4,0.45,0.550484024948946,0.5004533333333334,0.4195533333333334,0.07999333333333333,0.5107466666666666,0.050456201847832505,28.645136118996987,5983.553268215542,0.39890355121436943,40147.72721197835,0.5947811438811608,0.5398714557355254,36441.32326214797
4,5,0.45,0.5505697978638444,0.4996666666666667,0.42081999999999997,0.07951333333333334,0.5185933333333334,0.04811522812664237,27.471593402080284,6072.374203066119,0.40482494687107456,40000.47537345366,0.5925996351622764,0.5409277052304723,36512.62010305688
4,6,0.45,0.5506131122046707,0.4986733333333334,0.42238,0.07894666666666666,0.5198266666666667,0.048087682126305875,27.55731467955898,6052.0872369777135,0.4034724824651809,39968.30450219018,0.5921230296620767,0.5418011124671515,36571.57509153272
4,7,0.45,0.548182494972455,0.4995799999999999,0.42108666666666666,0.07933333333333333,0.5167533333333333,0.04837131644654469,27.369166279882275,6038.403068334211,0.40256020455561403,39799.156234370676,0.5896171293980841,0.539108369528346,36389.81494316335
4,8,0.45,0.5489071788665628,0.5010266666666666,0.4204666666666667,0.07850666666666666,0.5104666666666667,0.05055501693718223,28.706100275048485,5949.104550259982,0.39660697001733214,40030.234892938795,0.5930405169324267,0.5386183316560835,36356.73738678564
4,9,0.45,0.5505518003408576,0.4987266666666667,0.42288,0.07839333333333334,0.5157266666666667,0.04907203211684408,27.845246758691484,6044.8254953542355,0.402988366356949,40054.53946519723,0.5934005846695886,0.5404948902307739,36483.40509057724
4,10,0.45,0.5498637240141079,0.5002533333333333,0.4198533333333333,0.07989333333333334,0.5112000000000001,0.050179418878791404,28.341572244971736,6001.386402346497,0.40009242682309976,40074.36566913751,0.5936943062094445,0.5393156523056621,36403.806530632195
4,11,0.45,0.5494937853103934,0.4988466666666667,0.42114666666666667,0.08000666666666667,0.5139933333333333,0.04908891737612864,28.021878947703996,6000.316109020271,0.4000210739346847,39966.602836186285,0.5920978197953524,0.5401059089089253,36457.14885135246
4,12,0.45,0.5508093483564624,0.4991066666666667,0.42136,0.07953333333333333,0.5148400000000001,0.049606684798268796,27.903765180596924,6065.687266746702,0.40437915111644684,40117.07549163258,0.5943270443204827,0.5398316962235569,36438.63949509009
4,13,0.45,0.5489471339705418,0.50044,0.42000666666666664,0.07955333333333332,0.5147999999999999,0.050133006041301,28.776636612280978,5924.997143788096,0.39499980958587305,39988.4823840005,0.5924219612444518,0.5396828232265583,36428.59056779268
4,14,0.45,0.5499159531052425,0.5006133333333334,0.41988,0.07950666666666666,0.5138266666666665,0.05020758801520753,28.473356267338456,5989.9219028700145,0.39932812685800095,40088.88779361946,0.5939094487943624,0.5393864188043996,36408.58326929698
4,15,0.45,0.549975974370547,0.4990933333333334,0.42053999999999997,0.08036666666666667,0.5155599999999999,0.04927975811058216,28.05171943569272,6010.238577347762,0.4006825718231841,40004.04867092919,0.5926525729026546,0.5404756875156308,36482.10890730508
